Time stamp;Medida;Luminosidade
03/04/2026 16:53:31;1;2517
03/04/2026 16:53:35;2;2525
03/04/2026 16:53:39;3;2513
03/04/2026 16:53:43;4;2528
03/04/2026 16:53:47;5;2508
03/04/2026 16:53:51;6;2509
03/04/2026 16:53:56;7;2512
03/04/2026 16:54:00;8;2498
03/04/2026 16:54:04;9;2517
03/04/2026 16:54:08;10;2517
03/04/2026 16:54:12;11;2516
03/04/2026 16:54:16;12;2510
03/04/2026 16:54:20;13;2501
03/04/2026 16:54:24;14;2504
03/04/2026 16:54:28;15;2494
03/04/2026 16:54:32;16;2510
03/04/2026 16:54:36;17;2510
03/04/2026 16:54:40;18;2493
03/04/2026 16:54:44;19;2504
03/04/2026 16:54:48;20;2493
