Time stamp;Contador;RSSI_DL;RSSI_UL;Perdas;PSR;Max_DL;Min_DL;Max_UL;Min_UL;valor_atual_spreadingfactor;valor_atual_bandwidth;valor_atual_codingrate;valor_atual_potencia_radio;taxa_canal_teorica;taxa_canal_calculada
03/04/2026 18:08:02;1;-42.0;-42.0;0;100.0;-42.0;-42.0;-42.0;-42.0;9;125;8;20;1098.6328125;1098.6328125
03/04/2026 18:08:07;2;-43.0;-42.0;0;100.0;-42.0;-43.0;-42.0;-42.0;9;125;8;20;1098.6328125;1098.6328125
03/04/2026 18:08:12;3;-43.0;-42.0;0;100.0;-42.0;-43.0;-42.0;-42.0;9;125;8;20;1098.6328125;1098.6328125
03/04/2026 18:08:17;4;-42.0;-42.0;0;100.0;-42.0;-43.0;-42.0;-42.0;9;125;8;20;1098.6328125;1098.6328125
03/04/2026 18:08:22;5;-42.0;-41.0;0;100.0;-42.0;-43.0;-41.0;-42.0;9;125;8;20;1098.6328125;1098.6328125
03/04/2026 18:08:27;6;-43.0;-41.0;0;100.0;-42.0;-43.0;-41.0;-42.0;9;125;8;20;1098.6328125;1098.6328125
03/04/2026 18:08:32;7;-43.0;-42.0;0;100.0;-42.0;-43.0;-41.0;-42.0;9;125;8;20;1098.6328125;1098.6328125
03/04/2026 18:08:37;8;-42.0;-42.0;0;100.0;-42.0;-43.0;-41.0;-42.0;9;125;8;20;1098.6328125;1098.6328125
03/04/2026 18:08:42;9;-42.0;-42.0;0;100.0;-42.0;-43.0;-41.0;-42.0;9;125;8;20;1098.6328125;1098.6328125
03/04/2026 18:08:47;10;-41.0;-42.0;0;100.0;-41.0;-43.0;-41.0;-42.0;9;125;8;20;1098.6328125;1098.6328125
